"SomaSeqid","TargetFullName","Target","UniProt","EntrezGeneSymbol","n_dis","beta_dis","se_dis","p_dis","padj_dis","n_rep","beta_rep","se_rep","p_rep","padj_rep","n_meta","beta_meta","se_meta","p_meta","padj_meta"
"X11462.8","RNA binding protein fox-1 homolog 2","RBM9","O43251","RBFOX2",331,0.176076687240065,0.0221925668217691,3.59705235092956e-14,8.59225626893327e-12,297,0.107372403138187,0.0173129996590871,1.91000470566349e-09,6.08513351041383e-08,628,0.1334,0.0137,1.51356124843621e-22,1.71311234987477e-20
"X4673.13","Interleukin-6","IL-6","P05231","IL6",326,0.204217794263772,0.0257244295306894,3.62856060843702e-14,8.59225626893327e-12,297,0.22524938109316,0.0376143024389068,6.23466483214858e-09,1.67595584019194e-07,623,0.2109,0.0212,2.95120922666638e-23,3.73327967173297e-21
"X15670.15","Complement C1q-like protein 2","C1QL2","Q7Z5L3","C1QL2",325,-0.0739823260958461,0.00932657504224823,3.81483378404711e-14,8.59225626893327e-12,297,-0.0318456833420775,0.0151034790621502,0.0358423733127176,0.0865084442300777,622,-0.0624,0.0079,3.8904514499428e-15,1.07261741578231e-13
"X19116.1","Biogenesis of lysosome-related organelles complex 1 subunit 5","MUTED","Q8TDH9","BLOC1S5",332,0.0646810226381368,0.00816961485931327,3.99546908576297e-14,8.59225626893327e-12,297,0.0303123755093182,0.0145284724502576,0.0378118256010056,0.0894978275973106,629,0.0564,0.0071,2.29086765276777e-15,6.65744714496904e-14
"X18273.14","G antigen 2D","GGE2D","Q9UEU5","GAGE2D",331,0.0741218433885416,0.00952855378441255,1.01523152735275e-13,2.07929085673532e-11,297,0.0217039440534595,0.0122796258023203,0.078196537285911,0.158792873874742,628,0.0544,0.0075,4.89778819368446e-13,8.49410766977292e-12
"X12777.11","Splicing factor 1","SF01","Q15637","SF1",331,0.0636262942721903,0.00818980095937769,1.0846167356987e-13,2.12042571829096e-11,297,0.0491698664158247,0.0120259511074565,5.61959030438484e-05,0.000410354123924604,628,0.059,0.0068,2.69153480392691e-18,1.31548763541928e-16
"X3685.53","Membrane frizzled-related protein","MFRP","Q9BY79","MFRP",332,0.110356849566348,0.0142241874007751,1.15507334434752e-13,2.15998715392986e-11,297,0.132080355832363,0.0214786936671099,2.56181052798648e-09,7.59886005577231e-08,629,0.117,0.0119,6.02559586074359e-23,7.00434805325897e-21
"X9974.8","Delta-like protein 3","DLL3","Q9NYJ7","DLL3",332,-0.107106267798866,0.0138820391169066,1.53520215240232e-13,2.75121019061766e-11,297,-0.0343680083327505,0.0163641581283173,0.0365718362938783,0.0877275336865424,629,-0.0767,0.0106,4.36515832240167e-13,7.69448604288917e-12
"X14019.73","Envoplakin","EVPL","Q92817","EVPL",331,0.0824594414496298,0.0107138917394656,1.75241217273299e-13,3.01484990196984e-11,297,0.0758415187645943,0.0146648757255078,4.32484416704679e-07,6.32692338859464e-06,628,0.0802,0.0087,1.94984459975804e-20,1.25168382441184e-18
"X5335.73","Annexin A6","annexin VI","P08133","ANXA6",332,-0.213908006992381,0.0279215013322082,2.19825461867403e-13,3.63642042881423e-11,297,-0.0323902337089894,0.0330275799501971,0.327554044677343,0.4622079875844,629,-0.1382,0.0213,8.91250938133744e-11,9.98247470029488e-10
"X8385.248","Hepatocyte growth factor activator","HGFA","Q04756","HGFAC",325,-0.204365890397179,0.0267888867575287,2.85353701466386e-13,4.39288141212867e-11,297,-0.069422159238761,0.0285790402826278,0.015740574356435,0.0456889543102552,622,-0.1413,0.0195,4.89778819368446e-13,8.49410766977292e-12
"X14121.24","Tumor necrosis factor receptor superfamily member 10D","TRAIL R4","Q9UBN6","TNFRSF10D",331,0.0813843740649028,0.0106774876514418,2.85981584607307e-13,4.39288141212867e-11,297,0.052161605834025,0.0133869094380653,0.000121173893291484,0.000781819940419945,628,0.07,0.0083,4.89778819368448e-17,1.89778261450783e-15
"X12345.4","Anaphase-promoting complex subunit 10","APC10","Q9UM13","ANAPC10",332,0.0807810555863286,0.0106116407047171,3.02417231221916e-13,4.48516038443262e-11,297,0.0739070498697103,0.0116141460916656,7.64177766056358e-10,3.07248066827587e-08,629,0.0777,0.0078,3.71535229097173e-23,4.56563720099126e-21
"X3603.60","C-type lectin domain family 7 member A","CLC7A","Q9BXN2","CLEC7A",332,0.12237308348217,0.0161063470413994,3.32939626210667e-13,4.7187299591513e-11,297,0.147154659621437,0.0215476782671884,4.98067408970028e-11,2.78206224153258e-09,629,0.1313,0.0129,2.57039578276886e-24,4.42210890467555e-22
"X12644.63","Adenylosuccinate synthetase isozyme 2","PURA2","P30520","ADSS2",332,0.103525890801533,0.0136337889558466,3.4285901653107e-13,4.7187299591513e-11,297,0.054538098534839,0.0170080587254846,0.00149277065592905,0.00651156855086292,629,0.0844,0.0106,2.18776162394955e-15,6.4010630915694e-14
"X15540.6","Vimentin","Vimentin","P08670","VIM",332,0.249977349862641,0.0329363446198003,3.51079652854782e-13,4.7187299591513e-11,297,0.236171057579937,0.0297907236695764,4.80694928737186e-14,1.72437321924076e-11,629,0.2424,0.0221,5.24807460249771e-28,4.51439377306853e-25
"X14146.92","Histone H3.1","H31","P68431","H3C1",332,0.252883511342074,0.033356571271918,3.71127589754396e-13,4.83702958646563e-11,297,0.182462347965436,0.0310014849541931,1.09033591425857e-08,2.56258730449514e-07,629,0.2151,0.0227,2.75422870333817e-21,2.0077860428911e-19
"X2681.23","Hepatocyte growth factor","HGF","P14210","HGF",331,0.330430402162755,0.0437270695362677,4.38591583461065e-13,5.54818353078247e-11,297,0.0364524013617197,0.025847625459475,0.159524868917251,0.272621169536776,628,0.1126,0.0223,4.16869383470336e-07,2.1472517584502e-06
"X9361.7","Protocadherin alpha-C2","PCDC2","Q9Y5I4","PCDHAC2",328,0.13203663644544,0.0175198190896468,5.10436476555645e-13,6.27253510190237e-11,297,0.0120766718392084,0.0228803886190631,0.598028164997884,0.714279127369036,625,0.0877,0.0139,2.88403150312661e-10,2.89142645569873e-09
"X2505.49","GDNF family receptor alpha-3","GFRa-3","O60609","GFRA3",332,0.137420070247453,0.0184738180725679,9.37130191057374e-13,1.09621124182538e-10,297,0.152780873161706,0.0220358265580517,2.65761966963663e-11,1.60991861959256e-09,629,0.1438,0.0142,3.16227766016838e-24,5.23113700630162e-22
"X4153.11","Alpha-1-antichymotrypsin complex","alpha-1-antichymotrypsin complex","P01011","SERPINA3",330,0.175549872484721,0.0235966561817679,9.43032223844202e-13,1.09621124182538e-10,297,0.00131442536753984,0.0100099908759986,0.895619753412532,0.93610220156192,627,0.0279,0.0092,0.00245470891568503,0.00539484059599454
"X23173.3","Metalloproteinase inhibitor 1","TIMP-1","P01033","TIMP1",332,0.165994202475628,0.0225200312034665,1.44863022251738e-12,1.63962068080191e-10,297,-0.0567460357659977,0.0176871376093356,0.00148418331220672,0.00648068266578792,629,0.0282,0.0139,0.0426579518801593,0.0679022394657901
"X2645.54","Protein kinase C zeta type","PKC-Z","Q05513","PRKCZ",332,0.152729621662876,0.0207527939777342,1.55933905391399e-12,1.71967109509848e-10,297,0.181225118100912,0.0237301281481889,3.22227586833787e-13,5.3303878883543e-11,629,0.1651,0.0156,4.26579518801592e-26,1.83471851036565e-23
"X3823.9","Megakaryocyte-associated tyrosine-protein kinase","MATK","P42679","MATK",331,0.11157103895039,0.0151687059759849,1.61078712502945e-12,1.73199885618792e-10,297,0.101052245518752,0.0159895363506342,9.80127567276675e-10,3.63407643694567e-08,628,0.1066,0.011,3.46736850452531e-22,3.38935271317349e-20
"X13485.20","Transmembrane protein 87B","TM87B","Q96K49","TMEM87B",329,-0.0746362329144077,0.0101507691898845,1.6575030753268e-12,1.73876115292209e-10,297,-0.0320073450005934,0.0130855282018914,0.0150368521732124,0.0441156215531968,626,-0.0586,0.008,2.69153480392691e-13,4.84363648187852e-12
"X13083.18","Valine--tRNA ligase","SYVC","P26640","VARS1",329,-0.0928907946761726,0.0126423023085361,1.71298826200034e-12,1.75418155115797e-10,297,-0.04950652714207,0.0195433650362948,0.0118290693568849,0.0364447186991132,626,-0.0801,0.0106,4.46683592150963e-14,9.55813994945917e-13
"X11278.4","Collagen alpha-2(XI) chain","COL11A2","P13942","COL11A2",331,-0.220118157496691,0.0302900747815892,2.82940878284539e-12,2.83006678488791e-10,297,-0.20297905680252,0.0272443698114863,1.066974911786e-12,1.04296797627081e-10,628,-0.2106,0.0203,2.51188643150957e-25,7.71687395851619e-23
"X3445.53","Interleukin-15 receptor subunit alpha","IL-15 Ra","Q13261","IL15RA",332,0.125021097812511,0.0173183715154354,3.814201911759e-12,3.72097179789748e-10,297,-0.0956185120070284,0.0246837565150306,0.000132437795018425,0.000841381028617793,629,0.0522,0.0142,0.000229086765276777,0.000652517998314847
"X11465.4","Probable G-protein coupled receptor 135","GP135","Q8IZ08","GPR135",324,-0.0642471728644587,0.00889479323518626,3.89313487341052e-12,3.72097179789748e-10,297,-0.0703431294090834,0.0234147515326024,0.00289418782199467,0.0113162743839992,621,-0.065,0.0083,5.37031796370253e-15,1.42578626925214e-13
"X2635.61","Layilin","Layilin","Q6UX15","LAYN",332,0.111321184012935,0.0154456814104406,4.10746127753277e-12,3.84047629449314e-10,297,0.128603129719553,0.0171677607256203,8.23326162489437e-13,8.85281456216767e-11,629,0.1191,0.0115,3.46736850452531e-25,9.94210129197557e-23
"X9993.11","Zinc finger protein 264","ZN264","O43296","ZNF264",332,0.0955668908436518,0.0133235422086829,5.10552602285366e-12,4.67082442869446e-10,297,0.123387991595918,0.0160527101091187,2.33796901135964e-13,4.18983529910742e-11,629,0.1069,0.0103,1.81970085860999e-25,6.52211116073464e-23
"X10451.11","Nucleobindin-1","NUCB1","Q02818","NUCB1",332,0.180019816309762,0.0251091748853208,5.21273128522051e-12,4.67082442869446e-10,297,0.143920968605836,0.0252418318384618,2.91136308146021e-08,5.99127876237338e-07,629,0.1621,0.0178,8.70963589956083e-20,4.99468586720148e-18
"X5610.32","Protein FAM171A1","CJ038","Q5VUB5","FAM171A1",327,-0.0696800064360923,0.00974048458354015,5.91925702561596e-12,5.19565805452536e-10,297,-0.0499881946589871,0.0238204470869311,0.0367191441809985,0.0878848297843487,624,-0.0669,0.009,1.20226443461741e-13,2.35042696967704e-12
"X9875.107","THO complex subunit 1","THOC1","Q96FV9","THOC1",332,0.0720480016220226,0.0101168198354702,7.04142054505492e-12,6.05702995285624e-10,297,0.0747488152495132,0.0144316480617146,4.16126404113952e-07,6.10839475800037e-06,629,0.0729,0.0083,1.31825673855641e-18,6.59281654945479e-17
"X7070.25","Kell blood group glycoprotein","KELL","P23276","KEL",330,0.100900444214805,0.0142061914833275,8.01747243647061e-12,6.76140175475688e-10,297,0.0710949429086411,0.0108443433866015,2.51390057832519e-10,1.13813540919754e-08,627,0.0821,0.0086,1.73780082874937e-21,1.38412617860204e-19
"X14260.112","Neuroepithelial cell-transforming gene 1 protein","ARHG8","Q7Z628","NET1",331,0.080769339212897,0.0114094639895794,9.2305261207266e-12,7.56530780823955e-10,297,0.0521932619906224,0.0156110965592198,0.000936119164636647,0.00438589164172355,628,0.0708,0.0092,1.47910838816821e-14,3.57395796489408e-13
"X8357.43","Sulfotransferase 4A1","ST4A1","Q9BR01","SULT4A1",331,0.160046233033378,0.0226131839583155,9.32251369069277e-12,7.56530780823955e-10,297,0.108089023309272,0.0250508610404716,2.19144828628218e-05,0.000183373912048631,628,0.1367,0.0168,3.80189396320561e-16,1.22946961922912e-14
"X3312.64","High affinity immunoglobulin gamma Fc receptor I","FCGR1","P12314","FCGR1A",332,0.129665311002385,0.0183372826389789,9.65350877282893e-12,7.65184069203768e-10,297,0.138338825074805,0.0208609977816311,1.61473450446673e-10,7.80334056596787e-09,629,0.1334,0.0138,3.38844156139203e-22,3.38922957105747e-20
"X7186.111","Syntaxin-3","STX3","Q13277","STX3",328,0.110975945216345,0.0156915478266078,9.78496252178731e-12,7.65184069203768e-10,297,0.00916850038791133,0.0131363698156316,0.485767151310192,0.619047264528929,625,0.0511,0.0101,3.8904514499428e-07,2.02331701163289e-06
"X13113.7","Osteopontin","Osteopontin","P10451","SPP1",328,0.230442747206329,0.0326826065315523,1.11785108496007e-11,8.52962656780318e-10,297,0.00512114410909287,0.0229993957852442,0.823953001069649,0.888206032346671,625,0.0797,0.0188,2.23872113856834e-05,8.15994882795121e-05
"X2838.53","Matrix metalloproteinase-17","MMP-17","Q9ULZ9","MMP17",332,0.149969654810242,0.0212850190555003,1.13040854304762e-11,8.52962656780318e-10,297,0.185193770937121,0.0272395823175988,5.98242132397398e-11,3.21629926430151e-09,629,0.1633,0.0168,2.08929613085404e-22,2.24651566470081e-20
"X2333.72","Transforming growth factor beta-1","TGF-b1","P01137","TGFB1",332,0.100439692000906,0.0142706937910372,1.18514813662034e-11,8.7884864406967e-10,297,0.146485675639434,0.0221789903025423,1.88968724689127e-10,8.83428787921669e-09,629,0.1139,0.012,2.23872113856835e-21,1.71941778874687e-19
"X4703.87","Lymphotoxin-alpha","TNF-b","P01374","LTA",332,0.0800525172138715,0.011389942717648,1.25975489109162e-11,9.18339963827976e-10,297,0.0555411588431392,0.0138292618701733,7.53349305021139e-05,0.000532045215253845,629,0.0701,0.0088,1.47910838816821e-15,4.44870292133668e-14
"X18878.15","Gremlin-1","GREM1","O60565","GREM1",309,0.116401488076821,0.0165315814464185,1.31975339781358e-11,9.3855637130425e-10,297,0.0261503064191667,0.0137514651127764,0.0582060146616715,0.127078207644593,606,0.0631,0.0106,2.45470891568503e-09,2.03816661126667e-08
"X12713.365","Regulator of G-protein signaling 19","RGS19","P49795","RGS19",330,-0.0507902397481777,0.00723392683820413,1.33113086839245e-11,9.3855637130425e-10,297,0.00389918714325655,0.0102305895908057,0.703384710503319,0.793727569756235,627,-0.0326,0.0059,3.54813389233575e-08,2.37702864033272e-07
"X7267.2","Serine palmitoyltransferase 2","LCB2","O15270","SPTLC2",332,0.110416790735054,0.0157386797446831,1.36320677552891e-11,9.45669732508039e-10,297,0.114363056241039,0.0152417292263379,7.60991258092594e-13,8.85281456216767e-11,629,0.1125,0.0109,9.54992586021437e-25,2.28190172915456e-22
"X2431.17","Cathepsin G","Cathepsin G","P08311","CTSG",332,0.145844229684782,0.0208315816726571,1.49155835580414e-11,1.0067996355263e-09,297,0.172005429372005,0.022521370622933,3.21165539243271e-13,5.3303878883543e-11,629,0.1579,0.0153,5.37031796370253e-25,1.35869044481674e-22
"X6951.26","Acid-sensing ion channel 4","ASIC4","Q96FT7","ASIC4",332,0.0591180217365539,0.00844782719497473,1.52043100779356e-11,1.0067996355263e-09,297,0.0490883597540802,0.0108140996422969,8.27007688829813e-06,7.86938068508191e-05,629,0.0553,0.0067,9.54992586021437e-17,3.51061804485316e-15
"X9482.110","ADP-ribose pyrophosphatase, mitochondrial","NUDT9","Q9BW91","NUDT9",332,0.10316647346371,0.014745745668928,1.53613334374469e-11,1.0067996355263e-09,297,0.0217947351220693,0.0148817782398652,0.144130055094063,0.252403651042168,629,0.0629,0.0105,1.94984459975804e-09,1.64115100265349e-08
"X5452.71","Asialoglycoprotein receptor 1","ASGR1","P07306","ASGR1",330,0.232793357239796,0.0332701773719814,1.54496107753396e-11,1.0067996355263e-09,297,0.0312834912870696,0.0283247742099295,0.270307391439568,0.40075563274098,627,0.116,0.0216,7.58577575029184e-08,4.63443487244392e-07
"X3065.65","Fibroblast growth factor 5","FGF-5","P12034","FGF5",330,0.103045843136902,0.0147542735014737,1.67341923828602e-11,1.07423524535346e-09,297,0.120471237729253,0.0166096210128391,3.70344899540236e-12,2.94972854244918e-10,627,0.1107,0.011,1.02329299228076e-23,1.46706105326651e-21
"X8833.20","Tumor necrosis factor ligand superfamily member 10","TRAIL","P50591","TNFSF10",331,0.0992128523583598,0.0142139706781724,1.70861664371255e-11,1.08070002714819e-09,297,0.126736761911512,0.0164056764402065,1.81714459123798e-13,4.11344151942871e-11,628,0.111,0.0107,4.89778819368448e-25,1.31658668881481e-22
"X11352.42","Titin","TITIN","Q8WZ42","TTN",315,0.134803224577708,0.0193119347984961,1.85387025435527e-11,1.14213064934881e-09,297,0.0142454508614616,0.0229381344781553,0.535060824019337,0.660153931183927,612,0.0848,0.0148,9.54992586021437e-09,7.05742802831306e-08
"X19227.18","Basic leucine zipper transcriptional factor ATF-like","BATF","Q16520","BATF",332,0.0607747758677912,0.00872511522973352,1.85885016169301e-11,1.14213064934881e-09,297,0.0481581725688698,0.0126220403731263,0.000166073586348524,0.00102332735656877,629,0.0567,0.0072,2.81838293126445e-15,7.97491117590026e-14
"X12759.47","Interleukin enhancer-binding factor 3","DRBP76","Q12906","ILF3",331,0.135515507279694,0.0194741961440129,1.94777399365354e-11,1.17301551245593e-09,297,0.0491124316813294,0.0130352209060657,0.000199447707587657,0.0012038988191128,628,0.0758,0.0108,2.51188643150958e-12,3.76432876025182e-11
"X5122.92","Semaphorin-6A","Semaphorin-6A","Q9H2E6","SEMA6A",324,0.0930874364356506,0.0133685954361493,1.96366233194204e-11,1.17301551245593e-09,297,-0.0799628011509736,0.0188933178978023,3.10365030607432e-05,0.000249510279746274,621,0.0354,0.0109,0.00120226443461741,0.00285529504875179
"X12726.3","Regulatory factor X-associated protein","RFXAP","O00287","RFXAP",331,0.0570681139896782,0.00820854707046927,2.02664046979556e-11,1.1940521452864e-09,297,0.0695500343184517,0.0103220027446851,8.59315504485017e-11,4.45291082504826e-09,628,0.0619,0.0064,5.62341325190349e-22,5.14602136094402e-20
"X12875.28","Ubiquitin domain-containing protein 2","UBTD2","Q8WUN7","UBTD2",332,0.087670184310615,0.0126760386729813,2.51760309421281e-11,1.44772408885127e-09,297,0.0799079735312834,0.00949575895661714,1.7975037732561e-15,1.93276593219362e-12,629,0.0827,0.0076,1.41253754462275e-27,8.67903425631778e-25
"X6264.9","Protein CYR61","CYR61","O00622","CCN1",331,0.120933661798161,0.0174846744877702,2.52451305891294e-11,1.44772408885127e-09,297,0.0722495567344839,0.0177607430644667,6.11340729311997e-05,0.000440588741842739,628,0.097,0.0125,7.07945784384137e-15,1.84537867796132e-13
"X22579.93","Neurexin-1-beta","NRX1B","P58400","NRXN1",332,0.0921947902074405,0.0133583143784598,2.75241442608475e-11,1.55764926928823e-09,297,-0.0632875515216001,0.0150134687443115,3.33159235226579e-05,0.000265355161242503,629,0.0235,0.01,0.0186208713666287,0.0325827370821277
"X18942.11","Proteasome subunit beta type-9","PSB9","P28065","PSMB9",330,-0.0931053524560998,0.0135193595523572,3.04360905037158e-11,1.70007305527898e-09,297,-0.0535032385544017,0.0161203370012298,0.00101840057586965,0.00471997939312001,627,-0.0768,0.0104,1.25892541179417e-13,2.45006253218403e-12
"X6296.36","Oncoprotein-induced transcript 3 protein","OIT3","Q8WWZ8","OIT3",332,0.187622280577413,0.0272688696544247,3.13439934890314e-11,1.72833994867082e-09,297,0.124961853632092,0.0244309830227682,5.7050399372881e-07,8.04504156402496e-06,629,0.1529,0.0182,4.46683592150962e-17,1.74653284531026e-15
"X9513.9","Fibroblast growth factor 22","FGF22","Q9HCT0","FGF22",332,0.0811815632264916,0.0118519799793292,3.78397172049438e-11,2.06010916074004e-09,297,0.0866741793612211,0.0142717553749483,3.91221284392022e-09,1.07174697080897e-07,629,0.0834,0.0091,5.75439937337159e-20,3.344550230388e-18
"X4862.63","Bone morphogenetic protein receptor type-2","BMP RII","Q13873","BMPR2",331,0.0584965363684709,0.00854228296043109,3.84215596359043e-11,2.06563909992531e-09,297,0.0622290533780813,0.0179710302793552,0.000614995619064477,0.00308645992718357,628,0.0592,0.0077,1.69824365246175e-14,4.0354397509602e-13
"X3378.49","Kallikrein-7","Kallikrein 7","P49862","KLK7",325,-0.111588478891291,0.0162930797646635,3.93052499646604e-11,2.08706024812351e-09,297,-0.0571973364225026,0.0185297813781399,0.00221834578374901,0.00907812104272549,622,-0.0879,0.0122,6.91830970918936e-13,1.1714822857962e-11
"X13631.1","Retinoblastoma-binding protein 5","RB binding protein 5","Q15291","RBBP5",331,0.0739351330989889,0.0108389418429735,4.51817860796834e-11,2.34674121998267e-09,297,0.0700957154710577,0.0110241422376436,7.87025670147059e-10,3.1055022085344e-08,628,0.072,0.0077,1.14815362149688e-20,7.5972441939355e-19
"X8318.13","Sprouty-related, EVH1 domain-containing protein 1","SPRE1","Q7Z699","SPRED1",329,0.0860455143048967,0.0126122220871194,4.52870312156619e-11,2.34674121998267e-09,297,0.0686927614611892,0.0148455591673885,5.58819698875293e-06,5.7362375295051e-05,626,0.0788,0.0096,2.51188643150958e-16,8.57430439835136e-15
"X3514.49","Myeloblastin","Proteinase-3","P24158","PRTN3",329,0.219292639175128,0.0321613039068862,4.63629618081378e-11,2.37389403258096e-09,297,0.0346780780581427,0.0235301864126925,0.141624491421095,0.249642187541856,626,0.099,0.019,1.81970085860998e-07,1.02307626050739e-06
"X17432.25","Adenylate kinase 4, mitochondrial","KAD4","P27144","AK4",330,-0.0547016068583811,0.00802878071681304,4.76678408972437e-11,2.41199274940053e-09,297,0.0154753352259677,0.0108711552129173,0.155655988445562,0.268004966494941,627,-0.0299,0.0065,3.54813389233575e-06,1.51544427715353e-05
"X7789.182","Peroxiredoxin-4","PRDX4","Q13162","PRDX4",331,0.0956388554473641,0.0140448476087259,4.85144620288392e-11,2.42628722309346e-09,297,0.105742814475666,0.014572329560923,3.6275224500524e-12,2.94376869012743e-10,628,0.1005,0.0101,2.81838293126445e-23,3.67329242041467e-21
"X7853.19","Protein SCO1 homolog, mitochondrial","SCO1","O75880","SCO1",332,-0.0662920936402418,0.00975865849320964,5.33389083382935e-11,2.63690396279311e-09,297,-0.0462855958801804,0.00859797792790092,1.50796211468817e-07,2.62580771468576e-06,629,-0.055,0.0065,1.47910838816821e-17,6.23690703677597e-16
"X19296.51","Myosin regulatory light chain 2, atrial isoform","MLRA","Q01449","MYL7",327,-0.0739112628842349,0.0108919382554842,5.70320074369183e-11,2.78743936347938e-09,297,-0.050487386661918,0.0119804539257701,3.34886458080513e-05,0.000266237829242936,624,-0.0633,0.0081,3.98107170553497e-15,1.08370819022189e-13
"X5443.62","Atrial natriuretic factor","ANP","P01160","NPPA",332,0.115584559782301,0.0170524878158502,5.84097446168967e-11,2.82270013030643e-09,297,0.138741038630878,0.0180186888566776,2.14284903567811e-13,4.17654226770657e-11,629,0.1265,0.0124,1.69824365246175e-24,3.17571563010346e-22
"X2436.49","C-X-C motif chemokine 16","CXCL16, soluble","Q9H2A7","CXCL16",320,0.142559363433416,0.0210672650343289,6.6094139787335e-11,3.15442308837656e-09,297,-0.00604107283996122,0.01592579082876,0.704722149136863,0.794459228205799,617,0.048,0.0127,0.000158489319246111,0.000469464574433557
